88,26056,00546,NY INSTITUTE OF TECHNOLOGY-OSTEOPATHIC M,NORTHERN BOULEVARD,OLD WESTBURY,NY,11568
89,26057,00554,ANTIOCH UNIV/LOS ANGELES,400 CORPORATE POINTE,CULVER CITY,CA,90230
90,26058,00555,ANTIOCH UNIV/SEATTLE,2626 SIXTH AVENUE,SEATTLE,WA,98121
91,26059,00556,ANTIOCH  UNIV/SANTA BARBARA,801 GARDEN STR  SUITE 101,SANTA BARBARA,CA,93101
92,26060,00557,ANTIOCH UNIVERSITY,40 AVON STREET,KEENE,NH,03431
93,26061,00562,"MIDDLESEX COMMUNITY COLLEGE, LOWELL",33 KEARNEY SQUARE,LOWELL,MA,01852
94,26062,00567,MAYO SCHOOL OF HEALTH-RELATED SCIEN,200 FIRST ST  SW,ROCHESTER,MN,55905
95,26063,00568,UNIV OF SOUTH FLORIDA- MEDICINE,12901 BRUCE B DOWNS BLVD MDC 4,TAMPA,FL,33612
96,26064,00570,WAYNE STATE UNIV SCH OF MEDICINE,1374 SCOTT HALL,DETROIT,MI,48201
97,26065,00573,UNIV OF SOUTH FLORIDA-SARASOTA,8350 N TAMIAMI TRAIL,SARASOTA,FL,34243
98,26066,00584,FLORIDA ATLANTIC UNIVERSITY/DAVIE,2912 COLLEGE AVENUE,DAVIE,FL,33314
99,26067,00587,UNIV OF KY-COLLEGE OF DENTISTRY,D155 CHANDLER MEDICAL CENTER,LEXINGTON,KY,40536
100,26068,00588,UNIV OF KY-COLLEGE OF MEDICINE,OSFA - MN109A CHANDLER MED CTR,LEXINGTON,KY,40536
101,26069,00602,SOUTH UNIVERSITY - WEST PALM BEACH CAMPU,1760 N. CONGRESS AVE.,WEST PALM BEACH,FL,33409
102,26070,00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,2800 COLLEGE AVENUE,ALTON,IL,62002
103,26071,00611,MIAMI DADE COLLEGE - HOMESTEAD CAMPUS,500 COLLEGE TERRACE,HOMESTEAD,FL,33030
104,26072,00614,LINFIELD COLLEGE - PORTLAND CAMPUS,2255 NW NORTHUP,PORTLAND,OR,97210
105,26073,00616,CARLOS ALBIZU UNIVERSITY,2173 N.W. 99TH AVE,MIAMI,FL,33172
106,26074,00636,NATIONAL AMERICAN UNIVERSITY,4775 INDIAN SCHOOL RD NE #200,ALBUQUERQUE,NM,87110
107,26075,00637,NATIONAL AMERICAN UNIVERSITY - COLORADO,1915 JAMBOREE DRIVE SUITE 185,COLORADO SPRINGS,CO,80920
108,26076,00639,NATIONAL AMERICAN UNIVERSITY,3620 SOUTH ARROWHEAD AVENUE,INDEPENDENCE,MO,64057
109,26077,00640,NATIONAL AMERICAN UNIVERSITY,1500 WEST HIGHWAY 36,ROSEVILLE,MN,55113
110,26078,00641,NATIONAL AMERICAN UNIVERSITY - SIOUX FAL,5801 SOUTH CORPORATE PLACE,SIOUX FALLS,SD,57108
111,26079,00646,ECPI UNIVERSITY - CHARLOTTE,4800 AIRPORT CENTER PARKWAY,CHARLOTTE,NC,28208
112,26080,00647,ECPI UNIVERSITY - GREENSBORO,7802 AIRPORT CENTER DRIVE,GREENSBORO,NC,27409
113,26081,00648,ECPI UNIVERSITY - NEWPORT NEWS,1001 OMNI BOULEVARD,NEWPORT NEWS,VA,23606
114,26082,00650,U OF MD UNIVERSITY COLLEGE - EUROPE,3501 UNIVERSITY BOULEVARD EAST,COLLEGE PARK,MD,20832
115,26083,00651,U OF MD UNIVERSITY COLLEGE - ASIA,3501 UNIVERSITY BOULEVARD,ADLEPHI,MD,31207
116,26084,00656,WIDENER UNIV SCH OF LAW- HARRISBURG,3800 VARTAN WAY/P.O. BOX 69381,HARRISBURG,PA,17106
117,26085,00662,EVEREST UNIVERSITY - BRANDON,SABEL BUSINESS CENTER,TAMPA,FL,33619
118,26086,00664,INTERNATIONAL BUSINESS COLLEGE,7205 SHADELAND STATION,INDIANAPOLIS,IN,46256
119,26087,00670,THOMPSON INSTITUTE-PHILADEPHIA CAMPUS,3010 MARKET ST,PHILADELPHIA,PA,19104
120,26088,00673,REMINGTON COLLEGE - FT. WORTH CAMPUS,300 EAST LOOP 820,FT. WORTH,TX,76112
121,26089,00680,CASE WESTERN RESERVE UNIV -ENG GRAD,10900 EUCLID AVE,CLEVELAND,OH,44106
122,26090,00681,CASE WESTERN RESERVE UNIV -A&S GRAD,10900 EUCLID AVE,CLEVELAND,OH,44106
123,26091,00686,OHIO BUSINESS COLLEGE,5202 TIMBER COMMONS DRIVE,SANDUSKY,OH,44870
124,26092,00687,DAYMAR COLLEGE - JACKSON,504 MCCARTY LANE,JACKSON,OH,45640
125,26093,00688,DAYMAR COLLEGE - LANCASTER,1522 SHERIDAN DR.,LANCASTER,OH,43130
126,26094,00693,BUSINESS INSTITUTE OF PENNSYLVANIA,628 ARCH STREET SUITE B-105,MEADVILLE,PA,16335
127,26095,00698,VATTEROTT COLLEGE - KANSAS CITY,4131 NORTH CORRINGTON AVENUE,KANSAS CITY,MO,64117
128,26096,00699,VATTEROTT COLLEGE - JOPLIN,809 ILLINOIS AVENUE,JOPLIN,MO,64801
129,26097,00700,VATTEROTT COLLEGE - SPRINGFIELD LOCATION,3850 SOUTH CAMPBELL,SPRINGFIELD,MO,65807
130,26098,00701,MARICOPA SKILL CENTER,1245 EAST BUCKEYE ROAD,PHOENIX,AZ,85034
131,26099,00703,WEST VIRGINIA CAREER INSTITUTE,RT 119N & MT BRADDOCK RD BX278,MOUNT BRADDOCK,PA,15456
132,26100,00710,INTERACTIVE LEARNING SYSTEMS,11 SPIRAL DRIVE  SUITE 8,FLORENCE,KY,41042
133,26101,00711,INTERACTIVE LEARNING SYSTEMS,6200 HILLCROFT AVENUE SUITE 200,HOUSTON,TX,77081
134,26102,00722,GORDON-CONWELL THEO SEM - CHARLOTTE,14542 CHOATE CIRCLE,CHARLOTTE,NC,28273
135,26103,00724,CONNECTICUT CENTER FOR MASSAGE THERAPY -,25 SYLVAN ROAD SOUTH,WESTPORT,CT,06880
136,26104,00727,INSTITUTE FOR BUSINESS & TECHNOLOGY - NA,11080 WHITE ROCK ROAD,RANCHO CORDOVA,CA,95670
137,26105,00728,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI,"1200 EAST ALTAMONTE DR, UNIT 1010",ALTAMONTE SPRINGS,FL,32701
138,26106,00729,LINCOLN TECHNICAL INSTITUTE - MAHWAH,70 MCKEE DRIVE,MAHWAH,NJ,07430
139,26107,00733,BAKER COLLEGE OF JACKSON,2800 SPRINGPORT ROAD,JACKSON,MI,49202
140,26108,00750,UNIVERSITY OF PITTSBURGH - SCHOOL OF DEN,3501 TERRACE STREET,PITTSBURGH,PA,15261
141,26109,00760,ANTHEM INSTITUTE,40 JOURNAL SQUARE,JERSEY CITY,NJ,07306
142,26110,00768,REMINGTON COLLEGE - MEMPHIS,2710 NONCONNAH BOULEVARD,MEMPHIS,TN,38132
143,26111,00773,CHICAGO KENT COLLEGE OF LAW,565 W ADAMS STREET,CHICAGO,IL,60661
144,26112,00776,COLORADO TECHNICAL UNIVERSITY,3901 WEST 59TH STREET,SIOUX FALLS,SD,57108
145,26113,00777,HARRISON COLLEGE - EAST,8150 BROOKVILLE ROAD,INDIANAPOLIS,IN,46239
146,26114,00778,HARRISON COLLEGE - EVANSVILLE,4601 THEATRE DRIVE,EVANSVILLE,IN,47715
147,26115,00780,FORTIS INSTITUTE - FORTIS COLLEGE,2108 COBB PARKWAY,SMYRNA,GA,30080
148,26116,00784,EDUCATORS OF BEAUTY,128 S. 5TH STREET,ROCKFORD,IL,61104
149,26117,00786,ITT TECHNICAL INSTITUTE,4520 SOUTH UNIVERSITY,LITTLE ROCK,AR,72204
150,26118,00793,NATIONAL-LOUIS UNIVERSITY,"TWO URBAN CENTRE, SUITE 145",TAMPA,FL,33609
151,26119,00797,OFFICIAL USE ONLY,"830 FIRST STREET, N.E.",WASHINGTON,DC,20202
152,26120,00799,THOMAS JEFFERSON UNIVERSITY - COLLEGE OF,1020 LOCUST STREET,PHILADELPHIA,PA,19107
153,26121,00808,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI,2031 NORTH ARIZONA AVENUE,CHANDLER,AZ,85225
154,26122,00811,BAKER COLLEGE - GRADUATE ON-LINE,G-1050 W BRISTOL RD,FLINT,MI,48507
155,26123,00816,VATTEROTT COLLEGE - SUNSET HILLS,12970 MAURER INDUSTRIAL DRIVE,SUNSET HILLS,MO,63127
156,26124,00819,SOUTHERN CAREERS INSTITUTE-PHARR,1414 NORTH JACKSON ROAD,PHARR,TX,78577
157,26125,00820,SOUTHERN CAREERS INSTITUTE - CORPUS CHRI,2422 AIRLINE ROAD,CORPUS CHRISTI,TX,78414
158,26126,00821,SOUTHERN CAREERS INSTITUTE - SAN ANTONIO,238 SOUTHWEST MILITARY DRIVE,SAN ANTONIO,TX,78221
159,26127,00830,FLORIDA ATLANTIC UNIV-JUPITER/PSL,5353 PARKSIDE DRIVE,JUPITER,FL,33458
160,26128,00831,CHEEKS INTERNATIONAL ACADEMY OF BEAUTY C,2925 SOUTH COLLEGE AVENUE,FORT COLLINS,CO,80525
161,26129,00834,FLORIDA NATIONAL UNIVERSITY - SOUTH CAMP,11865 SOUTHWEST 26 STREET,MIAMI,FL,33175
162,26130,00835,FLORIDA NATIONAL UNIVERSITY - TRAINING A,4206 WEST 12 AVENUE,HIALEAH,FL,33012
163,26131,00836,ANTHEM INSTITUTE,651 US ROUTE 1,NORTH BRUNSWICK,NJ,08902
164,26132,00838,MILDRED ELLEY - PITTSFIELD,505 EAST ST STE 107,PITTSFIELD,MA,01201
165,26133,00840,COLORADO TECHNICAL UNIV - DENVER,5775 DTC BOULEVARD,GREENWOOD VILLAGE,CO,80111
166,26134,00842,CAREER TRAINING ACADEMY,4314 OLD WILLIAM PENN HIGHWAY,MONROEVILLE,PA,15146
167,26135,00845,MARINELLO SCHOOL OF BEAUTY - WICHITA,1675 SOUTH ROCK ROAD,WICHITA,KS,67207
168,26136,00846,VATTEROTT COLLEGE - OKLAHOMA CITY,4629 NW 23RD ST,OKLAHOMA CITY,OK,73127
169,26137,00862,UTAH CLG OF MASSAGE THER-PROVO CMPS,135 S STATE ST  SUITE 12,LINDON,UT,84042
170,26138,00876,NEW MEXICO STATE UNIV.-DONA ANA CLG,P O BOX 30001  MSC 3DA,LAS CRUCES,NM,88003
171,26139,00882,ITT TECHNICAL INSTITUTE,168 GIBSON ROAD,HENDERSON,NV,89014
172,26140,00893,VIRGINIA COLLEGE - GOLF ACADEMY OF AMERI,3268 WACCAMAW BOULEVARD,MYRTLE BEACH,SC,29579
173,26141,00896,MILLER-MOTTE BUSINESS COLLEGE,606 S COLLEGE ROAD,WILMINGTON,NC,28403
174,26142,00899,VATTEROTT COLLEGE - TULSA,4343 SOUTH 118TH EAST AVENUE,TULSA,OK,74146
175,26143,00902,JOHN DEWEY COLLEGE,CAROLINA INDUSTRIAL PARK,CAROLINA,PR,00986
176,26144,00905,MARINELLO SCHOOL OF BEAUTY - OVERLAND PA,10324 MASTIN,OVERLAND PARK,KS,66212
177,26145,00906,MIDWESTERN UNIVERSITY,19555 NORTH 59TH AVENUE,GLENDALE,AZ,85308
178,26146,00907,REMINGTON COLLEGE - BATON ROUGE,10551 COURSEY BOULEVARD,BATON ROUGE,LA,70816
179,26147,00908,EVEREST INSTITUTE - MARIETTA,1600 TERRELL MILL ROAD,MARIETTA,GA,30067
180,26148,00911,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,915 BROADWAY,NEW YORK,NY,10010
181,26149,00912,LINCOLN TECHNICAL INSTITUTE,308 WEST ROUTE 38,MOORESTOWN,NJ,08057
182,26150,00913,LINCOLN TECHNICAL INSTITUTE,240 BERGEN TOWN CENTER,PARAMUS,NJ,07652
183,26151,00914,PLATT COLLEGE,3700 INLAND EMPIRE BLVD STE400,ONTARIO,CA,91764
184,26152,00917,NATIONAL AMERICAN UNIVERSITY - BLOOMINGT,"7801 METRO PARKWAY, SUITE 200",BLOOMINGTON,MN,55425
185,26153,00920,KAPLAN UNIVERSITY - CEDAR FALLS,7009 NORDIC DRIVE,CEDAR FALLS,IA,50613
186,26154,00922,ITT TECHNICAL INSTITUTE,13 AIRLINE DRIVE,ALBANY,NY,12205
187,26155,00925,KAPLAN UNIVERSITY - DES MOINES,4655  121 STREET,URBANDALE,IA,50323
188,26156,00926,KAPLAN UNIVERSITY - MASON CITY,PLAZA WEST,MASON CITY,IA,50401
189,26157,00928,UTAH CLG OF MASSAGE THERAPY-NSMT,2381 E. WINDMILL LN  SUITE 14,LAS VEGAS,NV,89123
190,26158,00931,HARRISON COLLEGE - FORT WAYNE,6413 N. CLINTON STREET,FORT WAYNE,IN,46825
191,26159,00933,RASMUSSEN COLLEGE - NEW PORT RICHEY,2127 GRAND BOULEVARD,HOLIDAY,FL,34690
192,26160,00935,HILL COLLEGE,2112 MAYFIELD PARKWAY,CLEBURNE,TX,76031
193,26161,00937,JOHN DEWEY COLLEGE-BAYAMON CAMPUS,"ROAD #2, KM. 15.9, BO. HATO TEJAS",BAYAMON,PR,00959
194,26162,00944,VATTEROTT COLLEGE - WICHITA,8853 E. 37TH STREET NORTH,WICHITA,KS,67226
195,26163,00947,UNITED EDUCATION INSTITUTE - UEI MORROW,1564 SOUTHLAKE PARKWAY,MORROW,GA,30260
196,26164,00951,VIRGINIA COLLEGE - HUNTSVILLE,2021 DRAKE AVENUE SW,HUNTSVILLE,AL,35801
197,26165,00952,VIRGINIA COLLEGE - JACKSON,4795 I-55 NORTH,JACKSON,MS,39206
198,26166,00953,INTERACTIVE LEARNING SYSTEMS,"1078 CITIZENS PARKWAY, SUITE A",MORROW,GA,30260
199,26167,00956,VATTEROTT COLLEGE - MEMPHIS,2655 DIVIDEND DRIVE,MEMPHIS,TN,38132
200,26168,00958,UTAH COLLEGE OF MASSAGE THERAPY - ARIZON,"1409 W. SOUTHERN AVE, STE 6",TEMPE,AZ,85282
